STARTING WEB3 connection
Blck: 226, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 227, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 228, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 229, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 230, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 231, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 232, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 233, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 234, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 235, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 236, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 237, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 238, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 239, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 240, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 241, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 242, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 243, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 244, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 245, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 246, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 247, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 248, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 249, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 250, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 251, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 252, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 253, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 254, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 255, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 256, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 257, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 258, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 259, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 260, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 261, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 262, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 263, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 264, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 265, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 266, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 267, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 268, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 269, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 270, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 271, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 272, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 273, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 274, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 275, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 276, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 277, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 278, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 279, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 280, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 281, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 282, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 283, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 284, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 285, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 286, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 287, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 288, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 289, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 290, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 291, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 292, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 293, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 294, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 295, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 296, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 297, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 298, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 299, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 300, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 301, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 302, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
Blck: 303, time: 13 avgTime=13, highestTime=13 (b:2), lowestTime=13 (b:2)  
